date,cbp_intake,cbp_active_load,cbp_to_hhs_transfers,hhs_active_load,hhs_discharges,flag_transfers_exceed_cbp_load,flag_discharges_exceed_hhs_load,is_anomalous,is_missing_report,total_system_load,net_daily_intake,care_load_growth_rate_pct,discharge_offset_ratio,total_load_roll_avg_7d,total_load_roll_std_7d,net_intake_roll_avg_7d,total_load_roll_avg_14d,total_load_roll_std_14d,net_intake_roll_avg_14d,backlog_streak_days,backlog_rolling_sum_14d,is_backlog_accumulating,load_zscore,system_regime
2023-01-12,33.0,53.0,34.0,6566.0,436.0,False,False,False,False,6619.0,-402.0,,12.823529411764707,6619.0,,-402.0,6619.0,,-402.0,0,-402.0,False,,Normal
2023-01-13,,,,,,False,False,False,True,,,0.0,,6619.0,,-402.0,6619.0,,-402.0,0,-402.0,False,,Normal
2023-01-14,,,,,,False,False,False,True,,,0.0,,6619.0,,-402.0,6619.0,,-402.0,0,-402.0,False,,Normal
2023-01-15,,,,,,False,False,False,True,,,0.0,,6619.0,,-402.0,6619.0,,-402.0,0,-402.0,False,,Normal
2023-01-16,,,,,,False,False,False,True,,,0.0,,6619.0,,-402.0,6619.0,,-402.0,0,-402.0,False,,Normal
2023-01-17,,,,,,False,False,False,True,,,0.0,,6619.0,,-402.0,6619.0,,-402.0,0,-402.0,False,,Normal
2023-01-18,,,,,,False,False,False,True,,,0.0,,6619.0,,-402.0,6619.0,,-402.0,0,-402.0,False,,Normal
2023-01-19,,,,,,False,False,False,True,,,0.0,,,,,6619.0,,-402.0,0,-402.0,False,,Normal
2023-01-20,,,,,,False,False,False,True,,,0.0,,,,,6619.0,,-402.0,0,-402.0,False,,Normal
2023-01-21,,,,,,False,False,False,True,,,0.0,,,,,6619.0,,-402.0,0,-402.0,False,,Normal
2023-01-22,32.0,49.0,39.0,7122.0,227.0,False,False,False,False,7171.0,-188.0,8.339628342649942,5.82051282051282,7171.0,,-188.0,6895.0,390.32294321497426,-295.0,0,-590.0,False,,Normal
2023-01-23,32.0,50.0,39.0,7280.0,181.0,False,False,False,False,7330.0,-142.0,2.2172639799191263,4.641025641025641,7250.5,112.42997820866105,-165.0,7040.0,373.16350303854745,-244.0,0,-732.0,False,,Normal
2023-01-24,47.0,42.0,47.0,7433.0,175.0,True,False,True,False,7475.0,-128.0,1.9781718963165051,3.723404255319149,7325.333333333333,152.05371857778871,-152.66666666666666,7148.75,374.3531087088766,-215.0,0,-860.0,False,,Normal
2023-01-25,20.0,22.0,41.0,7538.0,180.0,True,False,True,False,7560.0,-139.0,1.1371237458194017,4.390243902439025,7384.0,170.823495651701,-149.25,7231.0,372.7338192329749,-199.8,0,-999.0,False,,Normal
2023-01-26,,,,,,False,False,False,True,,,0.0,,7384.0,170.823495651701,-149.25,7384.0,170.82349565170088,-149.25,0,-597.0,False,,Normal
